centena,ocorrencias,probabilidade (%)
581,6,0,487805
023,5,0,406504
058,5,0,406504
249,5,0,406504
360,5,0,406504
464,5,0,406504
748,5,0,406504
757,5,0,406504
802,5,0,406504
817,5,0,406504
000,4,0,325203
016,4,0,325203
032,4,0,325203
095,4,0,325203
111,4,0,325203
122,4,0,325203
135,4,0,325203
172,4,0,325203
187,4,0,325203
192,4,0,325203
194,4,0,325203
218,4,0,325203
242,4,0,325203
358,4,0,325203
394,4,0,325203
443,4,0,325203
475,4,0,325203
505,4,0,325203
515,4,0,325203
532,4,0,325203
536,4,0,325203
542,4,0,325203
556,4,0,325203
583,4,0,325203
586,4,0,325203
602,4,0,325203
612,4,0,325203
635,4,0,325203
675,4,0,325203
698,4,0,325203
744,4,0,325203
781,4,0,325203
832,4,0,325203
849,4,0,325203
913,4,0,325203
946,4,0,325203
955,4,0,325203
002,3,0,243902
004,3,0,243902
010,3,0,243902
011,3,0,243902
017,3,0,243902
026,3,0,243902
030,3,0,243902
038,3,0,243902
056,3,0,243902
064,3,0,243902
101,3,0,243902
102,3,0,243902
104,3,0,243902
118,3,0,243902
129,3,0,243902
142,3,0,243902
165,3,0,243902
178,3,0,243902
182,3,0,243902
195,3,0,243902
238,3,0,243902
239,3,0,243902
261,3,0,243902
273,3,0,243902
288,3,0,243902
307,3,0,243902
309,3,0,243902
331,3,0,243902
342,3,0,243902
343,3,0,243902
350,3,0,243902
386,3,0,243902
399,3,0,243902
401,3,0,243902
406,3,0,243902
417,3,0,243902
420,3,0,243902
423,3,0,243902
424,3,0,243902
437,3,0,243902
446,3,0,243902
447,3,0,243902
451,3,0,243902
459,3,0,243902
469,3,0,243902
477,3,0,243902
478,3,0,243902
483,3,0,243902
496,3,0,243902
503,3,0,243902
506,3,0,243902
511,3,0,243902
546,3,0,243902
547,3,0,243902
567,3,0,243902
569,3,0,243902
580,3,0,243902
591,3,0,243902
598,3,0,243902
649,3,0,243902
680,3,0,243902
683,3,0,243902
687,3,0,243902
723,3,0,243902
